1,"{'mse': 0.0007705950233926474, 'l2': 0.17338388026334567, 'l1': 4.4549129724419}"
2,"{'mse': 0.0033286254328104238, 'l2': 0.7489407223823453, 'l1': 6.482811399306266}"
3,"{'mse': 0.0014793210301278265, 'l2': 0.33284723177876097, 'l1': 5.393682341378536}"
4,"{'mse': 0.001465370324819076, 'l2': 0.3297083230842921, 'l1': 5.372003125789703}"
5,"{'mse': 0.0014206879168013988, 'l2': 0.3196547812803147, 'l1': 4.823838454489751}"
6,"{'mse': 0.0009925691474224616, 'l2': 0.22332805817005388, 'l1': 4.614901297107625}"
7,"{'mse': 0.0009357361499683709, 'l2': 0.21054063374288345, 'l1': 4.518237680449026}"
8,"{'mse': 0.000935871621833254, 'l2': 0.21057111491248215, 'l1': 4.567549001049256}"
9,"{'mse': 0.000766015478286287, 'l2': 0.17235348261441458, 'l1': 4.202688316740415}"
10,"{'mse': 0.0007154330388484725, 'l2': 0.1609724337409063, 'l1': 4.068446190538544}"
11,"{'mse': 0.000619257628822089, 'l2': 0.13933296648497004, 'l1': 3.655366408471257}"
12,"{'mse': 0.0005921926062384219, 'l2': 0.13324333640364494, 'l1': 3.5241835425104004}"
13,"{'mse': 0.0005761281612179702, 'l2': 0.12962883627404329, 'l1': 3.5220417638094768}"
14,"{'mse': 0.0005340391511474081, 'l2': 0.12015880900816683, 'l1': 3.387624262899248}"
15,"{'mse': 0.0007517099713639434, 'l2': 0.16913474355688726, 'l1': 3.68430201152372}"
16,"{'mse': 0.0007668805466589336, 'l2': 0.17254812299826006, 'l1': 3.726149085201326}"
17,"{'mse': 0.00074648232590998, 'l2': 0.1679585233297455, 'l1': 3.63865836663457}"
18,"{'mse': 0.0005253447534524421, 'l2': 0.11820256952679947, 'l1': 3.2852413308065964}"
19,"{'mse': 0.0012420328340385083, 'l2': 0.27945738765866435, 'l1': 4.433767976055828}"
20,"{'mse': 0.0012309485291847322, 'l2': 0.27696341906656474, 'l1': 4.413468146652652}"
21,"{'mse': 0.0012651778309863968, 'l2': 0.2846650119719393, 'l1': 4.518960765751455}"
22,"{'mse': 0.0012243127141802178, 'l2': 0.275470360690549, 'l1': 4.436654142126072}"
