1,"{'mse': 0.0007705950233926474, 'l2': 0.17338388026334567, 'l1': 4.4549129724419}"
2,"{'mse': 0.000706501339582785, 'l2': 0.15896280140612662, 'l1': 4.106022294043992}"
3,"{'mse': 0.0005932500860322677, 'l2': 0.13348126935726023, 'l1': 3.588554512864757}"
4,"{'mse': 0.0005650798832506572, 'l2': 0.12714297373139788, 'l1': 3.450372564705674}"
5,"{'mse': 0.0005117415305738307, 'l2': 0.1151418443791119, 'l1': 3.2570294854854263}"
6,"{'mse': 0.00048633896681540476, 'l2': 0.10942626753346607, 'l1': 3.184753512150709}"
7,"{'mse': 0.00048803873232658326, 'l2': 0.10980871477348124, 'l1': 3.1481440878355107}"
8,"{'mse': 0.0004718312775382578, 'l2': 0.10616203744610801, 'l1': 3.0410797552942834}"
9,"{'mse': 0.0005253856557296833, 'l2': 0.11821177253917875, 'l1': 3.048941539747691}"
10,"{'mse': 0.0005412527428619883, 'l2': 0.12178186714394737, 'l1': 3.0659431447288825}"
11,"{'mse': 0.0005530399874498546, 'l2': 0.12443399717621728, 'l1': 3.083045312217849}"
12,"{'mse': 0.0005369991383883852, 'l2': 0.12082480613738666, 'l1': 2.884537787517419}"
13,"{'mse': 0.0005373020856360208, 'l2': 0.12089296926810468, 'l1': 2.8940446922311294}"
14,"{'mse': 0.0004768349203142883, 'l2': 0.10728785707071486, 'l1': 2.703147348696656}"
15,"{'mse': 0.0003869888076702836, 'l2': 0.0870724817258138, 'l1': 2.4842890999041307}"
16,"{'mse': 0.00038657951489782583, 'l2': 0.08698039085201081, 'l1': 2.471687039889483}"
17,"{'mse': 0.00039756066278633377, 'l2': 0.0894511491269251, 'l1': 2.5613560469650003}"
18,"{'mse': 0.0003550722856316055, 'l2': 0.07989126426711124, 'l1': 2.4956572198234515}"
19,"{'mse': 0.00035484897706728754, 'l2': 0.0798410198401397, 'l1': 2.4839041094894325}"
20,"{'mse': 0.0003610228574037496, 'l2': 0.08123014291584366, 'l1': 2.470040314027357}"
21,"{'mse': 0.00039732927952267885, 'l2': 0.08939908789260274, 'l1': 2.6257849428843487}"
22,"{'mse': 0.0003973408559844443, 'l2': 0.08940169259649997, 'l1': 2.627008412040638}"
23,"{'mse': 0.0007874546373197436, 'l2': 0.1771772933969423, 'l1': 3.1447053864440475}"
24,"{'mse': 0.0007874590361433946, 'l2': 0.17717828313226378, 'l1': 3.144992774995016}"
25,"{'mse': 0.0006535580758049609, 'l2': 0.1470505670561162, 'l1': 2.6736265076266013}"
26,"{'mse': 0.0006537654299537809, 'l2': 0.1470972217396007, 'l1': 2.5061260307441726}"
27,"{'mse': 0.0002919880803417487, 'l2': 0.06569731807689345, 'l1': 1.8666434681906448}"
28,"{'mse': 0.0002232896955287064, 'l2': 0.05024018149395894, 'l1': 1.6530199696885828}"
29,"{'mse': 0.0002563739516305712, 'l2': 0.05768413911687853, 'l1': 1.7008992631846185}"
