0,"{'mse': 3095.5516345187334, 'l2': 438330111.4478527, 'l1': 2593574.1200795947}"
1,"{'mse': 1905.9807596413332, 'l2': 269886875.5652128, 'l1': 2137853.0243342477}"
2,"{'mse': 2357.651507868251, 'l2': 333843453.51414436, 'l1': 2217709.2043677266}"
3,"{'mse': 1347.2270775769389, 'l2': 190767354.18489453, 'l1': 1763396.7405989303}"
4,"{'mse': 1356.7230315377058, 'l2': 192111981.26573914, 'l1': 1710365.171895159}"
5,"{'mse': 1075.9891425658602, 'l2': 152360062.5873258, 'l1': 1559163.1468721023}"
6,"{'mse': 1018.2836122459998, 'l2': 144188959.49403358, 'l1': 1517397.8451007507}"
7,"{'mse': 750.9190436827622, 'l2': 106330136.58547913, 'l1': 1363336.1426415325}"
8,"{'mse': 709.1504342264435, 'l2': 100415701.4864644, 'l1': 1322565.5280335955}"
9,"{'mse': 576.7677298734461, 'l2': 81670310.55007997, 'l1': 1195667.9811541282}"
10,"{'mse': 500.104310813976, 'l2': 70814770.411259, 'l1': 1127952.3837454596}"
11,"{'mse': 479.1642495455744, 'l2': 67849657.73565334, 'l1': 1100975.6430060905}"
12,"{'mse': 409.6573351339763, 'l2': 58007478.65497104, 'l1': 1011266.1381906053}"
13,"{'mse': 405.87700949846, 'l2': 57472184.544981934, 'l1': 1008016.1813855493}"
14,"{'mse': 398.2793797301091, 'l2': 56396360.16978345, 'l1': 991224.5824321194}"
15,"{'mse': 315.81503030956674, 'l2': 44719408.29183465, 'l1': 883261.7035903763}"
16,"{'mse': 302.6818082097062, 'l2': 42859744.0424944, 'l1': 850289.9379247909}"
17,"{'mse': 298.0462773627544, 'l2': 42203352.87456602, 'l1': 835677.7294598118}"
18,"{'mse': 289.56984156982986, 'l2': 41003089.566287905, 'l1': 823776.4460474461}"
19,"{'mse': 273.544245181843, 'l2': 38733865.11774897, 'l1': 801182.1724761705}"
20,"{'mse': 272.3106542000207, 'l2': 38559188.634722926, 'l1': 792787.3143025232}"
21,"{'mse': 250.34620853449792, 'l2': 35449023.128484905, 'l1': 762920.5857143869}"
22,"{'mse': 251.80950702873648, 'l2': 35656226.195269085, 'l1': 763670.9883342286}"
23,"{'mse': 246.83501420015605, 'l2': 34951838.0107421, 'l1': 752320.5307896851}"
24,"{'mse': 229.99399307334372, 'l2': 32567149.41918547, 'l1': 728204.7018408453}"
25,"{'mse': 230.7112697183217, 'l2': 32668715.79211435, 'l1': 724755.9545583928}"
26,"{'mse': 221.65119843557127, 'l2': 31385809.698476892, 'l1': 703423.7686156026}"
27,"{'mse': 207.66909788914563, 'l2': 29405944.261103023, 'l1': 682912.1908038739}"
28,"{'mse': 206.2188242938926, 'l2': 29200585.52001519, 'l1': 680179.9012225819}"
29,"{'mse': 204.71357465365324, 'l2': 28987442.170957297, 'l1': 675795.8508129137}"
30,"{'mse': 202.904164538196, 'l2': 28731229.698608555, 'l1': 657413.1039388096}"
31,"{'mse': 201.8563520691018, 'l2': 28582859.452984814, 'l1': 648661.7488663192}"
32,"{'mse': 201.95245551037334, 'l2': 28596467.700268865, 'l1': 649232.0156635203}"
33,"{'mse': 200.56541797088016, 'l2': 28400063.184676632, 'l1': 636789.5879500177}"
34,"{'mse': 200.71378100852093, 'l2': 28421071.390806563, 'l1': 633199.2219857918}"
35,"{'mse': 184.80943595713916, 'l2': 26169016.131530903, 'l1': 603935.5433124336}"
36,"{'mse': 186.67941109352483, 'l2': 26433804.610843115, 'l1': 602107.2782344547}"
37,"{'mse': 186.7028239450086, 'l2': 26437119.870613217, 'l1': 600445.8426251296}"
38,"{'mse': 186.37337772608726, 'l2': 26390470.286013957, 'l1': 601250.3419026356}"
39,"{'mse': 187.2153862291205, 'l2': 26509698.69004346, 'l1': 603786.9218583464}"
40,"{'mse': 186.97716352240553, 'l2': 26475966.354772624, 'l1': 603122.0200957832}"
41,"{'mse': 190.84818352703167, 'l2': 27024102.787427682, 'l1': 605260.8053986753}"
42,"{'mse': 184.92341349210233, 'l2': 26185155.35048169, 'l1': 596643.6471310155}"
43,"{'mse': 192.11161233168542, 'l2': 27203004.306166656, 'l1': 603551.1864093646}"
44,"{'mse': 188.15736397549247, 'l2': 26643082.738929734, 'l1': 594026.5164328145}"
45,"{'mse': 178.02709143894558, 'l2': 25208636.147754695, 'l1': 576448.0839199835}"
46,"{'mse': 187.56134860249512, 'l2': 26558686.96211331, 'l1': 586466.0341539098}"
