1,"{'mse': 0.0007705950233926474, 'l2': 0.17338388026334567, 'l1': 4.4549129724419}"
2,"{'mse': 0.0017573635764572292, 'l2': 0.3954068047028766, 'l1': 5.540034069489755}"
3,"{'mse': 0.0011334495169818303, 'l2': 0.25502614132091184, 'l1': 4.954349377112713}"
4,"{'mse': 0.0015094474973212993, 'l2': 0.33962568689729233, 'l1': 5.697145610866684}"
5,"{'mse': 0.0011493189863213302, 'l2': 0.2585967719222993, 'l1': 4.558710622994792}"
6,"{'mse': 0.0008872882705033859, 'l2': 0.19963986086326183, 'l1': 4.075609465275836}"
7,"{'mse': 0.0008948090332957207, 'l2': 0.20133203249153714, 'l1': 4.066069573624479}"
8,"{'mse': 0.0009239629737941452, 'l2': 0.20789166910368267, 'l1': 4.221819425302988}"
9,"{'mse': 0.0008183243164654819, 'l2': 0.18412297120473342, 'l1': 3.972553185171143}"
10,"{'mse': 0.0011171786394709195, 'l2': 0.2513651938809569, 'l1': 4.706202754780398}"
11,"{'mse': 0.000905845991728038, 'l2': 0.20381534813880856, 'l1': 4.288884068658198}"
12,"{'mse': 0.0009070746448679896, 'l2': 0.20409179509529768, 'l1': 4.148788688586534}"
13,"{'mse': 0.0007509106729404624, 'l2': 0.16895490141160405, 'l1': 3.6374117449898447}"
14,"{'mse': 0.0007158368356272729, 'l2': 0.1610632880161364, 'l1': 3.5127084827775636}"
15,"{'mse': 0.0007413018740061322, 'l2': 0.16679292165137974, 'l1': 3.701206699711685}"
16,"{'mse': 0.0007324817090719017, 'l2': 0.16480838454117788, 'l1': 3.6250364462398865}"
17,"{'mse': 0.0007041674992919541, 'l2': 0.1584376873406897, 'l1': 3.420722804398458}"
18,"{'mse': 0.0007173839031586031, 'l2': 0.16141137821068569, 'l1': 3.4232227501388763}"
19,"{'mse': 0.0006955151365168053, 'l2': 0.1564909057162812, 'l1': 3.346938207538825}"
20,"{'mse': 0.0006984288272040474, 'l2': 0.15714648612091067, 'l1': 3.3329673153096033}"
21,"{'mse': 0.000701091479813723, 'l2': 0.15774558295808766, 'l1': 3.335638234598809}"
22,"{'mse': 0.0010338769929711079, 'l2': 0.23262232341849925, 'l1': 3.933793222487605}"
23,"{'mse': 0.0010330154522155517, 'l2': 0.23242847674849912, 'l1': 3.993928790567268}"
24,"{'mse': 0.0010176099789041219, 'l2': 0.2289622452534274, 'l1': 3.9012596135885866}"
25,"{'mse': 0.0011276345269654376, 'l2': 0.25371776856722345, 'l1': 4.057136754590115}"
26,"{'mse': 0.00136156989120171, 'l2': 0.30635322552038474, 'l1': 4.194767117281529}"
27,"{'mse': 0.001380155937594877, 'l2': 0.3105350859588473, 'l1': 4.216599368386053}"
28,"{'mse': 0.001560668285008066, 'l2': 0.3511503641268149, 'l1': 4.162171663032423}"
29,"{'mse': 0.0012908801715881147, 'l2': 0.2904480386073258, 'l1': 3.941630235507521}"
30,"{'mse': 0.0013060634651562608, 'l2': 0.2938642796601587, 'l1': 4.011964390565022}"
31,"{'mse': 0.0012939597310091958, 'l2': 0.29114093947706904, 'l1': 3.976610618076222}"
32,"{'mse': 0.0012927747700324209, 'l2': 0.2908743232572947, 'l1': 3.9804555397596504}"
33,"{'mse': 0.0011867239193680058, 'l2': 0.2670128818578013, 'l1': 3.7954795070213065}"
34,"{'mse': 0.0010904456924449274, 'l2': 0.24535028080010868, 'l1': 3.5927117975773113}"
35,"{'mse': 0.0008106534590295642, 'l2': 0.18239702828165194, 'l1': 3.405539582500772}"
36,"{'mse': 0.0008090112395510187, 'l2': 0.1820275288989792, 'l1': 3.3748802154747275}"
37,"{'mse': 0.000893776266762255, 'l2': 0.20109966002150736, 'l1': 3.5767715195991503}"
38,"{'mse': 0.001003735830047931, 'l2': 0.22584056176078446, 'l1': 3.8117671028623414}"
39,"{'mse': 0.0010112659163436018, 'l2': 0.2275348311773104, 'l1': 3.856779230389097}"
40,"{'mse': 0.0009849875665933548, 'l2': 0.22162220248350484, 'l1': 3.695310275477682}"
41,"{'mse': 0.0008681420167908432, 'l2': 0.19533195377793972, 'l1': 3.541415319456247}"
42,"{'mse': 0.0008809709864763189, 'l2': 0.19821847195717177, 'l1': 3.586329253176456}"
43,"{'mse': 0.0010960849246220972, 'l2': 0.2466191080399719, 'l1': 4.031866027260632}"
44,"{'mse': 0.0010852653838894855, 'l2': 0.24418471137513423, 'l1': 4.0056187419912215}"
45,"{'mse': 0.0010311416400754848, 'l2': 0.23200686901698409, 'l1': 3.806670234173808}"
46,"{'mse': 0.0009761143638306917, 'l2': 0.21962573186190565, 'l1': 3.6754665358454863}"
47,"{'mse': 0.0009583852109987332, 'l2': 0.21563667247471496, 'l1': 3.5931798442571043}"
48,"{'mse': 0.000958751132349174, 'l2': 0.21571900477856415, 'l1': 3.5927731098461777}"
49,"{'mse': 0.0009107708321959163, 'l2': 0.20492343724408119, 'l1': 3.4848289535435932}"
50,"{'mse': 0.0006826810531798779, 'l2': 0.15360323696547254, 'l1': 3.27239614535515}"
51,"{'mse': 0.000699027182939997, 'l2': 0.1572811161614993, 'l1': 3.285955331232708}"
52,"{'mse': 0.0006591651663126191, 'l2': 0.14831216242033932, 'l1': 3.132522129789355}"
53,"{'mse': 0.0006574524295084398, 'l2': 0.14792679663939895, 'l1': 3.119700773562299}"
54,"{'mse': 0.0007977175979068268, 'l2': 0.17948645952903602, 'l1': 3.3855293722059314}"
55,"{'mse': 0.0007630889434400262, 'l2': 0.17169501227400588, 'l1': 3.2907995293450356}"
56,"{'mse': 0.0006876764864615375, 'l2': 0.15472720945384594, 'l1': 3.1331839698817094}"
57,"{'mse': 0.0006870059437657327, 'l2': 0.15457633734728987, 'l1': 3.122284683889137}"
58,"{'mse': 0.000720708942763866, 'l2': 0.16215951212186985, 'l1': 3.2601617853753138}"
59,"{'mse': 0.0007097390181441, 'l2': 0.1596912790824225, 'l1': 3.1825140879767115}"
60,"{'mse': 0.0007244987313484882, 'l2': 0.16301221455340986, 'l1': 3.18075713288943}"
61,"{'mse': 0.0007268770972664803, 'l2': 0.16354734688495806, 'l1': 3.1854070033938977}"
62,"{'mse': 0.0007268530322808183, 'l2': 0.16354193226318411, 'l1': 3.1826811032686004}"
63,"{'mse': 0.0007065321962699193, 'l2': 0.15896974416073184, 'l1': 3.061402498726406}"
64,"{'mse': 0.0006441484346148436, 'l2': 0.1449333977883398, 'l1': 2.991441697255028}"
65,"{'mse': 0.0004677965477986753, 'l2': 0.10525422325470195, 'l1': 2.5153677090356474}"
66,"{'mse': 0.0004569200282426612, 'l2': 0.10280700635459876, 'l1': 2.4336897673154443}"
67,"{'mse': 0.0004337600783480494, 'l2': 0.09759601762831112, 'l1': 2.4221476021483315}"
68,"{'mse': 0.0004366740892792973, 'l2': 0.09825167008784189, 'l1': 2.4385334277908246}"
69,"{'mse': 0.0004458059540744498, 'l2': 0.1003063396667512, 'l1': 2.490081884869497}"
70,"{'mse': 0.00048509471876017224, 'l2': 0.10914631172103875, 'l1': 2.5451812707771184}"
71,"{'mse': 0.0004830000331943658, 'l2': 0.10867500746873231, 'l1': 2.5198359436348623}"
72,"{'mse': 0.0004819602688617777, 'l2': 0.10844106049389998, 'l1': 2.5001904789635363}"
73,"{'mse': 0.00048162563216476244, 'l2': 0.10836576723707154, 'l1': 2.500427836234561}"
74,"{'mse': 0.000491155374146569, 'l2': 0.11050995918297803, 'l1': 2.5372419659951646}"
75,"{'mse': 0.0004692773886920446, 'l2': 0.10558741245571003, 'l1': 2.437468237025133}"
76,"{'mse': 0.00046886248755542047, 'l2': 0.10549405969996961, 'l1': 2.4223885916326617}"
77,"{'mse': 0.00046805159192237123, 'l2': 0.10531160818253353, 'l1': 2.4004991622883574}"
78,"{'mse': 0.00045817142805862663, 'l2': 0.10308857131319099, 'l1': 2.3807839746705755}"
79,"{'mse': 0.0005099333827357294, 'l2': 0.1147350111155391, 'l1': 2.4704169000434604}"
80,"{'mse': 0.000516323730200799, 'l2': 0.11617283929517977, 'l1': 2.4560617276598222}"
81,"{'mse': 0.0005163665312365606, 'l2': 0.11618246952822613, 'l1': 2.458157555771115}"
82,"{'mse': 0.0005235149356260873, 'l2': 0.11779086051586965, 'l1': 2.508229059324978}"
83,"{'mse': 0.00045328841540400155, 'l2': 0.10198989346590034, 'l1': 2.3698965888660894}"
84,"{'mse': 0.00041359695217061516, 'l2': 0.09305931423838841, 'l1': 2.2781660576236873}"
85,"{'mse': 0.00037505095526065414, 'l2': 0.08438646493364718, 'l1': 2.2714587802183503}"
86,"{'mse': 0.00036980292692416646, 'l2': 0.08320565855793745, 'l1': 2.225350866598491}"
87,"{'mse': 0.0003598176917278451, 'l2': 0.08095898063876515, 'l1': 2.159365326801596}"
88,"{'mse': 0.0003557304560688863, 'l2': 0.08003935261549941, 'l1': 2.160994986400028}"
89,"{'mse': 0.00035575668959122276, 'l2': 0.08004525515802512, 'l1': 2.1596142428438805}"
90,"{'mse': 0.00035547447670418057, 'l2': 0.07998175725844063, 'l1': 2.1531672976332046}"
91,"{'mse': 0.0003510027669346281, 'l2': 0.07897562256029132, 'l1': 2.109364159503312}"
92,"{'mse': 0.0003669949228885193, 'l2': 0.08257385764991684, 'l1': 2.220356656281473}"
