1,"{'mse': 0.0007705950233926474, 'l2': 0.17338388026334567, 'l1': 4.4549129724419}"
2,"{'mse': 0.0006929544706257266, 'l2': 0.1559147558907885, 'l1': 4.140538582489319}"
3,"{'mse': 0.0006490944327567996, 'l2': 0.1460462473702799, 'l1': 3.958834158921146}"
4,"{'mse': 0.0005960570615150084, 'l2': 0.13411283884087688, 'l1': 3.7179646863443416}"
5,"{'mse': 0.0005871942906061568, 'l2': 0.13211871538638528, 'l1': 3.698684050112947}"
6,"{'mse': 0.0005869436554955962, 'l2': 0.13206232248650915, 'l1': 3.7237875182394253}"
7,"{'mse': 0.0005870506226902241, 'l2': 0.13208639010530043, 'l1': 3.704036667507352}"
8,"{'mse': 0.0005462852983713651, 'l2': 0.12291419213355716, 'l1': 3.584764766691232}"
9,"{'mse': 0.000568969065423918, 'l2': 0.12801803972038156, 'l1': 3.6608471152602995}"
10,"{'mse': 0.0005607418322165411, 'l2': 0.12616691224872176, 'l1': 3.6022202812759057}"
11,"{'mse': 0.00041766900958993, 'l2': 0.09397552715773425, 'l1': 2.7683965325623605}"
12,"{'mse': 0.00041678268914451054, 'l2': 0.09377610505751487, 'l1': 2.7511707561699805}"
13,"{'mse': 0.00045017743503681447, 'l2': 0.10128992288328326, 'l1': 2.9068178708289683}"
14,"{'mse': 0.0005253620263339795, 'l2': 0.11820645592514538, 'l1': 3.120991989665571}"
15,"{'mse': 0.0007497722364961102, 'l2': 0.1686987532116248, 'l1': 3.3562748537144067}"
16,"{'mse': 0.0007598224508510329, 'l2': 0.1709600514414824, 'l1': 3.3865978410468998}"
17,"{'mse': 0.0007591572288184186, 'l2': 0.17081037648414418, 'l1': 3.3798477975565793}"
18,"{'mse': 0.000706177404391124, 'l2': 0.1588899159880029, 'l1': 3.0778078069094206}"
19,"{'mse': 0.003341543064505388, 'l2': 0.7518471895137123, 'l1': 5.45527138085031}"
20,"{'mse': 0.0033558672666078653, 'l2': 0.7550701349867697, 'l1': 5.4532574890731835}"
21,"{'mse': 0.0016869214541126512, 'l2': 0.3795573271753465, 'l1': 4.193959509507877}"
22,"{'mse': 0.00125414376412226, 'l2': 0.2821823469275085, 'l1': 3.8281457050538448}"
23,"{'mse': 0.001254160552655507, 'l2': 0.2821861243474891, 'l1': 3.828821531277554}"
24,"{'mse': 0.0008712089514936195, 'l2': 0.1960220140860644, 'l1': 3.220742497337005}"
25,"{'mse': 0.0008711955021194277, 'l2': 0.19601898797687123, 'l1': 3.2205649481119885}"
26,"{'mse': 0.0008652909866841678, 'l2': 0.19469047200393774, 'l1': 3.1684248724040764}"
27,"{'mse': 0.0007348629278449988, 'l2': 0.16534415876512473, 'l1': 3.003795605014729}"
