1,"{'mse': 0.0007705950233926474, 'l2': 0.17338388026334567, 'l1': 4.4549129724419}"
2,"{'mse': 0.0007608600711518839, 'l2': 0.17119351600917387, 'l1': 4.3780960607055155}"
3,"{'mse': 0.0005777572344254992, 'l2': 0.12999537774573733, 'l1': 3.435452632685772}"
4,"{'mse': 0.0004098303409246096, 'l2': 0.09221182670803715, 'l1': 2.6288532253722354}"
5,"{'mse': 0.00035641179984487165, 'l2': 0.08019265496509612, 'l1': 2.4341957530517986}"
6,"{'mse': 0.0002768938603463497, 'l2': 0.062301118577928694, 'l1': 2.3034610352316998}"
7,"{'mse': 0.0004225481275522158, 'l2': 0.09507332869924856, 'l1': 2.6944969759043174}"
8,"{'mse': 0.002859784012407384, 'l2': 0.6434514027916614, 'l1': 5.601739048013131}"
9,"{'mse': 0.0029087917024932814, 'l2': 0.6544781330609883, 'l1': 5.366738689787045}"
10,"{'mse': 0.0030929864143425, 'l2': 0.6959219432270625, 'l1': 5.569167874230944}"
11,"{'mse': 0.0031008711548115627, 'l2': 0.6976960098326016, 'l1': 5.607124255169553}"
12,"{'mse': 0.003098123279609585, 'l2': 0.6970777379121567, 'l1': 5.590273890266513}"
13,"{'mse': 0.0010012679277548021, 'l2': 0.2252852837448305, 'l1': 3.780043771760897}"
14,"{'mse': 0.000987097685779871, 'l2': 0.22209697930047098, 'l1': 3.7643887495814905}"
15,"{'mse': 0.0010150756335322098, 'l2': 0.2283920175447472, 'l1': 3.901822064932178}"
16,"{'mse': 0.0012450083314385883, 'l2': 0.28012687457368235, 'l1': 3.9718181385646725}"
17,"{'mse': 0.0012072355091808555, 'l2': 0.2716279895656925, 'l1': 3.7243215169656647}"
18,"{'mse': 0.0007921142279144444, 'l2': 0.17822570128075, 'l1': 3.067339666594745}"
19,"{'mse': 0.0006885502832018658, 'l2': 0.1549238137204198, 'l1': 2.9268088656030002}"
20,"{'mse': 0.0007798328302213503, 'l2': 0.1754623867998038, 'l1': 3.078663175745923}"
21,"{'mse': 0.0007793889975187516, 'l2': 0.17536252444171913, 'l1': 3.073033864856024}"
22,"{'mse': 0.0007812438259817661, 'l2': 0.17577986084589736, 'l1': 3.140049463149521}"
23,"{'mse': 0.0007637836509291945, 'l2': 0.17185132145906876, 'l1': 3.0099239320842024}"
24,"{'mse': 0.0007689994914608316, 'l2': 0.17302488557868712, 'l1': 3.0202896337249046}"
25,"{'mse': 0.0007645685775074786, 'l2': 0.17202792993918267, 'l1': 2.9914878968353746}"
26,"{'mse': 0.0007541384691074884, 'l2': 0.1696811555491849, 'l1': 2.9384329758450325}"
27,"{'mse': 0.000753842291391965, 'l2': 0.16961451556319213, 'l1': 2.9291948770858327}"
28,"{'mse': 0.0007333299991832307, 'l2': 0.1649992498162269, 'l1': 2.7799562566215146}"
29,"{'mse': 0.0007319788614959771, 'l2': 0.16469524383659484, 'l1': 2.7563912124215237}"
